timestamp,open,high,low,close,vol,holdingvol,ZTM:MACD,ZTM:RSI,ZTM:ma5,ZTM:ma7,ZTM:ma10,ZTM:ma21,lastclose,label
1272377160,3137.70,3144,3136.3,3140.6,1567,11872,-5.91,45.13,3137.34,3135.9,3135.66,3143.2,3137.3,1
1272377340,3140.90,3140.9,3132.2,3132.2,1869,11845,-5.99,38.3,3136.98,3135.76,3135.47,3142.39,3140.6,-1
1272377520,3132.40,3132.4,3125.2,3129.3,2230,11980,-6.23,36.25,3135.62,3135.46,3135.13,3141.68,3132.2,-1
1272377700,3129.30,3132.3,3124.9,3126.6,2198,11959,-6.55,34.41,3133.2,3134.4,3133.94,3140.29,3129.3,-1
1272377880,3126.60,3132.7,3122,3123.6,2554,11761,-6.97,32.44,3130.46,3132.61,3132.98,3138.64,3126.6,-1
1272378060,3124.70,3126.4,3121.6,3124.6,2387,11720,-7.14,33.8,3127.26,3130.6,3132.3,3137.07,3123.6,1
1272378240,3124.60,3127.8,3122.5,3127.2,1630,11619,-6.99,37.34,3126.26,3129.16,3131.62,3135.59,3124.6,1
1272378420,3127.20,3129.2,3126.1,3128.1,1573,11565,-6.71,38.56,3126.02,3127.37,3130.82,3134.34,3127.2,1
1272378600,3128.10,3131.5,3125.4,3130.5,1557,11569,-6.23,41.82,3126.8,3127.13,3130,3133.09,3128.1,1
1272378780,3131.20,3131.2,3127.4,3129.8,1187,11658,-5.84,41.13,3128.04,3127.2,3129.25,3132.12,3130.5,-1
1272378960,3130.10,3130.2,3126.5,3128.1,1581,11720,-5.6,39.44,3128.74,3127.41,3128,3131.87,3129.8,-1
1272379140,3127.90,3130.6,3127.3,3128.3,1208,11624,-5.33,39.76,3128.96,3128.09,3127.61,3131.66,3128.1,1
1272379320,3128.20,3137.1,3128.2,3134.5,2093,11413,-4.57,48.64,3130.24,3129.5,3128.13,3131.68,3128.3,1
1272379500,3134.20,3139.9,3134.2,3139.9,2354,11528,-3.49,54.88,3132.12,3131.31,3129.46,3132.02,3134.5,1
1272379680,3139.70,3143.7,3138,3142,1993,11540,-2.43,57.07,3134.56,3133.3,3131.3,3132.19,3139.9,1
1272379860,3142.20,3142.2,3138.8,3140.2,1522,11387,-1.72,54.62,3136.98,3134.69,3132.86,3132.52,3142,-1
1272380040,3140.20,3145.9,3140.1,3145.6,1429,11216,-0.71,60.14,3140.44,3136.94,3134.7,3133.2,3140.2,1
1272380220,3145.50,3153.8,3144.9,3149.6,2177,10983,0.4,63.66,3143.46,3140.01,3136.85,3133.94,3145.6,1
1272380400,3149.60,3152.4,3148.3,3151,1181,10835,1.38,64.83,3145.68,3143.26,3138.9,3134.65,3149.6,1
1272380580,3150.70,3152.4,3149.6,3150.2,852,10647,2.07,63.57,3147.32,3145.5,3140.94,3135.2,3151,-1
1272380760,3150.00,3152.5,3149.9,3151.4,667,10428,2.69,64.68,3149.56,3147.14,3143.27,3135.87,3150.2,1
1272380940,3151.90,3156.6,3151.5,3155.9,1226,10006,3.49,68.54,3151.62,3149.13,3146.03,3136.6,3151.4,1
1272381120,3156.00,3156.5,3154.5,3155.8,1228,9307,4.08,68.37,3152.86,3151.36,3148.16,3137.72,3155.9,-1
1272446100,3114.20,3125,3112.6,3122,3632,9538,1.79,35.03,3147.06,3147.99,3146.37,3137.38,3155.8,-1
1272446280,3122.80,3123.1,3115.8,3116,1446,9675,-0.49,32.05,3140.22,3143.19,3143.77,3136.87,3122,-1
1272446460,3115.80,3118,3114,3114.3,1520,9858,-2.42,31.23,3132.8,3137.94,3141.18,3136.43,3116,-1
1272446640,3115.10,3121.8,3115.1,3117.3,1137,9919,-3.66,34.4,3125.08,3133.24,3138.35,3136.08,3114.3,1
1272446820,3117.00,3122.2,3117,3122.2,1178,10187,-4.2,39.3,3118.36,3129.07,3135.61,3135.84,3117.3,1
1272447000,3121.70,3124.4,3118.6,3120.7,1645,10467,-4.69,38.36,3118.1,3124.04,3132.58,3135.49,3122.2,-1
1272447180,3120.40,3122.7,3119.4,3121.5,1215,10519,-4.96,39.2,3119.2,3119.14,3129.71,3135.06,3120.7,1
